[3/18] arch1_3conv_narrow__vgg_td512 | teacher=vgg dim=512 convs=3
  trainable params: 77,877
vgg16] epoch 19 | train_loss 24.55794 | train_acc 0.2980 | val_loss 3.35963 | val_acc 0.2826 | enc_lr 1.01e-04 | cls_lr 5.00e-04
vgg16] epoch 20 | train_loss 24.28019 | train_acc 0.2947 | val_loss 3.30746 | val_acc 0.3125 | enc_lr 9.27e-05 | cls_lr 4.61e-04
vgg16] epoch 21 | train_loss 24.23682 | train_acc 0.3095 | val_loss 3.36529 | val_acc 0.2908 | enc_lr 8.49e-05 | cls_lr 4.22e-04
vgg16] epoch 22 | train_loss 24.14231 | train_acc 0.3068 | val_loss 3.24717 | val_acc 0.3043 | enc_lr 7.73e-05 | cls_lr 3.84e-04
vgg16] epoch 23 | train_loss 24.17229 | train_acc 0.3071 | val_loss 3.42113 | val_acc 0.2962 | enc_lr 6.98e-05 | cls_lr 3.46e-04
vgg16] epoch 24 | train_loss 23.52534 | train_acc 0.3176 | val_loss 3.29788 | val_acc 0.3043 | enc_lr 6.24e-05 | cls_lr 3.09e-04
vgg16] epoch 25 | train_loss 23.81054 | train_acc 0.3176 | val_loss 3.37790 | val_acc 0.3179 | enc_lr 5.53e-05 | cls_lr 2.74e-04
vgg16] epoch 26 | train_loss 23.81716 | train_acc 0.3104 | val_loss 3.17330 | val_acc 0.3315 | enc_lr 4.85e-05 | cls_lr 2.40e-04
vgg16] epoch 27 | train_loss 23.68918 | train_acc 0.3306 | val_loss 3.25935 | val_acc 0.3016 | enc_lr 4.20e-05 | cls_lr 2.07e-04
vgg16] epoch 28 | train_loss 23.87732 | train_acc 0.3225 | val_loss 3.19820 | val_acc 0.3179 | enc_lr 3.59e-05 | cls_lr 1.76e-04
vgg16] epoch 29 | train_loss 23.65964 | train_acc 0.3170 | val_loss 3.19193 | val_acc 0.3478 | enc_lr 3.01e-05 | cls_lr 1.47e-04
vgg16] epoch 30 | train_loss 23.44218 | train_acc 0.3243 | val_loss 3.17986 | val_acc 0.3370 | enc_lr 2.48e-05 | cls_lr 1.21e-04
vgg16] epoch 31 | train_loss 23.23308 | train_acc 0.3228 | val_loss 3.17287 | val_acc 0.3234 | enc_lr 2.00e-05 | cls_lr 9.64e-05
vgg16] epoch 32 | train_loss 23.34168 | train_acc 0.3324 | val_loss 3.19690 | val_acc 0.3424 | enc_lr 1.57e-05 | cls_lr 7.46e-05
vgg16] epoch 33 | train_loss 23.10662 | train_acc 0.3312 | val_loss 3.18947 | val_acc 0.3288 | enc_lr 1.18e-05 | cls_lr 5.54e-05
vgg16] epoch 34 | train_loss 23.37350 | train_acc 0.3282 | val_loss 3.13765 | val_acc 0.3288 | enc_lr 8.57e-06 | cls_lr 3.90e-05
vgg16] epoch 35 | train_loss 23.32129 | train_acc 0.3309 | val_loss 3.18558 | val_acc 0.3234 | enc_lr 5.87e-06 | cls_lr 2.54e-05
Early stopping com val_acc: 0.34782608695652173 (menor loss = 3.06083)
  best val_acc = 0.3478 -> arch2_3conv__vgg_td512.pth
====================================================================================================
[7/18] arch3_4conv_narrow__resnet_td2048 | teacher=resnet dim=2048 convs=4
  trainable params: 994,885
resnet50] epoch 00 | train_loss 4.20836 | train_acc 0.0951 | val_loss 3.06161 | val_acc 0.1549 | enc_lr 2.00e-04 | cls_lr 9.98e-04
resnet50] epoch 01 | train_loss 3.72589 | train_acc 0.1646 | val_loss 2.76740 | val_acc 0.2228 | enc_lr 1.99e-04 | cls_lr 9.94e-04
resnet50] epoch 02 | train_loss 3.52704 | train_acc 0.1993 | val_loss 2.68416 | val_acc 0.2391 | enc_lr 1.97e-04 | cls_lr 9.86e-04
resnet50] epoch 03 | train_loss 3.43324 | train_acc 0.2391 | val_loss 2.51713 | val_acc 0.3043 | enc_lr 1.95e-04 | cls_lr 9.76e-04
resnet50] epoch 04 | train_loss 3.31255 | train_acc 0.2609 | val_loss 2.51824 | val_acc 0.3071 | enc_lr 1.92e-04 | cls_lr 9.62e-04
resnet50] epoch 05 | train_loss 3.29075 | train_acc 0.2612 | val_loss 2.41672 | val_acc 0.2772 | enc_lr 1.89e-04 | cls_lr 9.46e-04
resnet50] epoch 06 | train_loss 3.20777 | train_acc 0.2850 | val_loss 2.46993 | val_acc 0.2908 | enc_lr 1.85e-04 | cls_lr 9.26e-04
resnet50] epoch 07 | train_loss 3.14759 | train_acc 0.2950 | val_loss 2.41263 | val_acc 0.2935 | enc_lr 1.81e-04 | cls_lr 9.05e-04
resnet50] epoch 08 | train_loss 3.09914 | train_acc 0.3083 | val_loss 2.25929 | val_acc 0.3424 | enc_lr 1.76e-04 | cls_lr 8.80e-04
resnet50] epoch 09 | train_loss 3.03787 | train_acc 0.3228 | val_loss 2.19848 | val_acc 0.3777 | enc_lr 1.71e-04 | cls_lr 8.54e-04
resnet50] epoch 10 | train_loss 2.99065 | train_acc 0.3354 | val_loss 2.19236 | val_acc 0.3696 | enc_lr 1.65e-04 | cls_lr 8.25e-04
resnet50] epoch 11 | train_loss 2.95440 | train_acc 0.3484 | val_loss 2.17226 | val_acc 0.3777 | enc_lr 1.59e-04 | cls_lr 7.94e-04
resnet50] epoch 12 | train_loss 2.87988 | train_acc 0.3641 | val_loss 2.18869 | val_acc 0.3886 | enc_lr 1.52e-04 | cls_lr 7.61e-04
resnet50] epoch 13 | train_loss 2.89454 | train_acc 0.3678 | val_loss 2.13995 | val_acc 0.3967 | enc_lr 1.46e-04 | cls_lr 7.27e-04
resnet50] epoch 14 | train_loss 2.82019 | train_acc 0.3765 | val_loss 2.05119 | val_acc 0.4049 | enc_lr 1.39e-04 | cls_lr 6.92e-04
resnet50] epoch 15 | train_loss 2.79927 | train_acc 0.3910 | val_loss 2.11716 | val_acc 0.3913 | enc_lr 1.31e-04 | cls_lr 6.55e-04
resnet50] epoch 16 | train_loss 2.74896 | train_acc 0.4028 | val_loss 2.08826 | val_acc 0.3913 | enc_lr 1.24e-04 | cls_lr 6.17e-04
resnet50] epoch 17 | train_loss 2.75747 | train_acc 0.3940 | val_loss 2.10252 | val_acc 0.3750 | enc_lr 1.16e-04 | cls_lr 5.79e-04
